Johor,2467
Kedah,2809
Kelantan,466
Melaka,426
Negeri Sembilan,6235
Pahang,802
Pulau Pinang,2623
Perak,2357
Perlis,44
Sabah,32495
Sarawak,1075
Selangor,20612
Terengganu,250
WP Kuala Lumpur,7946
WP Labuan,1424
WP Putrajaya,215
