Johor,28
Kedah,11
Kelantan,4
Melaka,5
Negeri Sembilan,10
Pahang,7
Pulau Pinang,6
Perak,15
Perlis,2
Sabah,233
Sarawak,19
Selangor,31
Terengganu,1
WP Kuala Lumpur,21
WP Labuan,6
WP Putrajaya,2
